Date,Longitude (deg E),Latitude (deg N),Wildfire radiative power (Gigawatts per day)
20190615,33.150000,68.150000,0.0026952573
20190615,33.250000,67.650000,0.0020029072
20190615,70.950000,66.150000,0.0058918551
20190615,70.950000,66.250000,0.012186622
20190615,72.550000,67.850000,0.033224288
20190615,77.250000,66.250000,0.0047869474
20190615,78.750000,66.250000,0.031133915
20190615,79.050000,67.350000,0.0034712027
20190615,83.650000,68.450000,0.015110084
20190615,112.25000,70.350000,0.0018724998
20190615,122.15000,72.850000,0.0014118075
20190615,131.55000,68.350000,0.00059637090
20190615,131.75000,66.950000,0.44330916
20190615,131.75000,67.050000,0.10872831
20190615,131.85000,66.950000,0.14316999
20190615,131.85000,67.050000,0.20650548
20190615,132.95000,66.350000,0.0025190382
20190615,132.95000,66.650000,0.012718493
20190615,133.05000,66.550000,0.0010763557
20190615,133.05000,67.450000,0.0078676099
20190615,133.15000,67.450000,0.023229152
20190615,133.15000,67.550000,0.027925281
20190615,133.25000,67.550000,0.050832301
20190615,134.25000,69.150000,0.0034673826
20190615,134.25000,69.250000,0.0050807813
20190615,134.35000,67.450000,0.017550713
20190615,134.35000,69.250000,0.0040787638
20190615,134.45000,67.450000,0.011753101
20190615,134.45000,67.750000,0.0065704576
20190615,134.45000,69.150000,0.0035607885
20190615,134.45000,69.250000,0.010877074
20190615,134.45000,69.450000,0.0076581574
20190615,134.55000,67.750000,0.25537427
20190615,134.55000,67.850000,0.0079857200
20190615,134.55000,69.350000,0.00062912236
20190615,134.55000,69.450000,0.012290392
20190615,134.55000,69.550000,0.00088976914
20190615,134.65000,67.750000,0.0018252370
